Neighborhood,Exterior1st,YearBuilt,LotFrontage,GrLivArea,GarageArea,SalePrice
CollgCr,VinylSd,1997,,2034,645,219500
Other,VinylSd,2004,76.0,2473,852,317000
NAmes,Other,1970,,2207,576,180000
CollgCr,VinylSd,2003,72.0,1479,558,226000
OldTown,Other,1945,47.0,747,220,80000
Other,Other,1953,81.0,2287,667,225000
NAmes,Other,1973,95.0,2223,516,244000
Other,HdBoard,1982,69.0,845,360,129500
Other,VinylSd,1998,74.0,1718,427,185000
NAmes,Other,1954,85.0,1086,490,144900
OldTown,VinylSd,1915,60.0,1605,379,107400
Other,Other,1973,21.0,988,297,91000
NAmes,VinylSd,1956,,952,283,135750
Other,Other,1948,50.0,1285,240,127000
Other,HdBoard,1968,72.0,1768,0,136500
OldTown,Other,1910,60.0,1230,440,110000
NAmes,VinylSd,1968,100.0,2142,509,193500
Other,VinylSd,1998,32.0,1337,405,153500
Other,VinylSd,2007,78.0,1563,758,245000
NAmes,Other,1960,80.0,1065,461,126500
Other,HdBoard,1995,,1474,400,168500
Other,HdBoard,1991,121.0,2417,462,260000
Other,VinylSd,2005,122.0,1560,400,174000
Other,VinylSd,2009,40.0,1224,528,164500
Other,Other,1915,105.0,1526,0,85000
CollgCr,,1994,60.0,990,0,123600
NAmes,Other,1950,60.0,1040,420,109900
NAmes,HdBoard,1961,85.0,1235,480,98600
Other,,1921,80.0,964,432,163500
OldTown,Other,1910,60.0,2291,506,133900
CollgCr,VinylSd,1997,69.0,1786,684,204750
Other,VinylSd,1993,,1470,420,185000
CollgCr,VinylSd,1999,78.0,1588,472,214000
Edwards,HdBoard,1965,73.0,960,432,94750
Edwards,Other,1920,85.0,835,366,83000
NAmes,Other,1959,77.0,1225,0,128950
Other,Other,1977,,1610,480,205000
Other,HdBoard,1985,77.0,1732,476,178000
Other,HdBoard,1979,64.0,1535,410,118964
CollgCr,VinylSd,2009,94.0,1226,740,198900
Other,Other,1931,,1818,240,169500
Other,VinylSd,2003,75.0,1992,648,250000
OldTown,VinylSd,1885,60.0,1047,273,100000
OldTown,VinylSd,1948,50.0,789,250,115000
Other,Other,1919,85.0,1517,0,115000
Other,Other,1977,105.0,1844,546,190000
Edwards,Other,1954,75.0,1855,325,136900
Other,VinylSd,2000,,1430,400,180000
CollgCr,VinylSd,2007,77.0,2696,792,383970
Other,Other,1953,,2259,450,217000
Other,Other,1945,61.0,2320,180,259500
Other,Other,1999,34.0,1458,440,176000
Other,Other,1962,,1092,288,139000
Edwards,VinylSd,2006,74.0,1125,430,155000
Other,Other,1990,90.0,3222,594,320000
CollgCr,VinylSd,2005,65.0,1456,390,163990
Other,Other,1969,,988,540,180000
Other,Other,1939,50.0,1123,264,100000
NAmes,Other,1958,75.0,1080,288,136000
Other,Other,1993,55.0,1199,530,153900
Other,HdBoard,1979,48.0,1586,435,181000
Other,Other,1935,60.0,754,0,84500
Other,Other,1976,,958,440,128000
OldTown,Other,1930,55.0,840,0,87000
NAmes,,1966,69.0,1348,453,155000
NAmes,Other,1958,69.0,1053,750,150000
NAmes,Other,1966,88.0,2157,487,226000
Other,VinylSd,2000,,2054,390,244000
NAmes,Other,1959,75.0,1327,624,150750
Other,VinylSd,2001,,1296,471,220000
Other,Other,1968,78.0,1721,440,180000
Other,Other,1970,80.0,1682,530,174000
NAmes,Other,1967,,1214,318,143000
Other,VinylSd,1988,82.0,1959,766,171000
CollgCr,VinylSd,1999,73.0,1852,660,230000
CollgCr,VinylSd,1997,65.0,1764,470,231500
NAmes,HdBoard,1971,70.0,864,0,115000
CollgCr,VinylSd,2005,78.0,1734,660,260000
NAmes,Other,1952,71.0,1385,720,166000
CollgCr,VinylSd,1999,78.0,1501,577,204000
Other,HdBoard,1963,70.0,1728,504,125000
Edwards,VinylSd,2004,24.0,1709,380,130000
Other,Other,1931,51.0,875,180,105000
Other,VinylSd,2001,,2035,434,222500
Other,VinylSd,2004,63.0,1080,0,141000
Other,Other,1936,,1344,240,115000
CollgCr,HdBoard,1975,120.0,969,440,122000
Other,VinylSd,2007,107.0,1710,866,372402
Other,HdBoard,1971,,1993,495,190000
Other,Other,1960,,1252,564,235000
OldTown,Other,1923,84.0,1200,312,125000
Edwards,Other,1924,60.0,1096,0,79000
,Other,1950,60.0,1040,625,109500
Other,VinylSd,2009,92.0,1968,680,269500
Other,VinylSd,2004,100.0,1947,678,254900
Other,VinylSd,2005,134.0,2462,576,320000
Other,Other,1984,,1232,516,162500
Other,VinylSd,2003,110.0,2668,726,412500
Other,VinylSd,2005,95.0,1541,532,220000
OldTown,Other,1956,55.0,882,0,103200
OldTown,Other,1926,40.0,1616,216,152000
Edwards,Other,1940,62.0,1355,0,127500
Other,Other,1955,,1867,303,190000
Other,VinylSd,2007,86.0,2161,789,325624
Other,VinylSd,2004,62.0,1720,440,183500
Other,Other,1981,,1707,511,228000
OldTown,Other,1941,,1382,660,128500
NAmes,Other,1960,141.0,1656,528,215000
Other,HdBoard,1987,44.0,1767,504,239000
NAmes,Other,1961,80.0,1362,504,163000
Other,VinylSd,1986,47.0,1651,616,184000
Edwards,Other,1950,84.0,2158,576,243000
Other,Other,1988,97.0,2060,521,211000
Other,Other,1958,,1920,451,172500
Other,VinylSd,2008,63.0,2234,1166,501837
OldTown,Other,1923,60.0,968,480,100000
Other,,2000,,1525,440,177000
Other,Other,1920,54.0,1802,216,200100
Edwards,Other,1957,60.0,1340,252,120000
OldTown,VinylSd,2003,63.0,2082,484,200000
Other,Other,1908,92.0,1252,576,127000
OldTown,Other,1892,90.0,3608,840,475000
Other,HdBoard,1990,,1217,497,173000
OldTown,HdBoard,1916,60.0,1656,180,135000
Other,Other,1979,64.0,1224,528,153337
Other,Other,2001,41.0,1593,682,286000
Other,Other,1932,70.0,2727,440,315000
NAmes,HdBoard,1972,,1479,484,184000
CollgCr,VinylSd,1999,68.0,1431,666,192000
Edwards,VinylSd,2004,24.0,1709,380,130000
CollgCr,HdBoard,1972,60.0,864,352,127000
Other,Other,1976,24.0,1456,440,148500
Other,Other,2007,79.0,1726,786,311872
NAmes,Other,1918,174.0,3112,795,235000
OldTown,Other,1912,92.0,2229,0,104000
Other,VinylSd,2004,76.0,1713,856,274900
Edwards,VinylSd,2003,80.0,1121,440,140000
Other,Other,1977,75.0,1279,473,171500
OldTown,Other,1924,50.0,1310,398,112000
CollgCr,VinylSd,2004,,848,420,149000
OldTown,Other,1947,50.0,1284,240,110000
Other,HdBoard,1990,99.0,1442,500,180500
Other,,1962,40.0,1696,349,143900
NAmes,Other,1960,,1100,312,141000
,Other,1988,,2062,454,277000
NAmes,HdBoard,1964,75.0,1092,504,145000
Edwards,Other,1925,67.0,864,0,98000
Edwards,VinylSd,2009,83.0,1212,460,186000
Other,VinylSd,2009,72.0,1852,644,252678
CollgCr,VinylSd,1995,43.0,990,576,156000
CollgCr,HdBoard,1977,,1392,299,161750
NAmes,HdBoard,1957,72.0,1236,447,134450
CollgCr,VinylSd,2004,65.0,1436,484,210000
OldTown,Other,1925,57.0,1328,210,107000
Other,VinylSd,1939,,1954,431,311500
Other,VinylSd,2005,43.0,1248,438,167240
CollgCr,VinylSd,2006,73.0,1498,675,204900
Other,VinylSd,2002,,2267,390,200000
Other,VinylSd,1975,85.0,1552,434,179900
NAmes,HdBoard,1971,70.0,864,576,97000
Other,VinylSd,2003,103.0,2392,968,386250
Other,HdBoard,1971,21.0,1302,280,112000
Other,VinylSd,1995,82.0,2520,721,290000
Other,HdBoard,1970,21.0,987,280,106000
Other,HdBoard,1967,70.0,912,336,125000
Other,VinylSd,2005,43.0,1555,430,192500
NAmes,Other,1959,73.0,1194,312,148000
Other,VinylSd,1995,174.0,2794,810,403000
Other,HdBoard,1972,21.0,987,288,94500
CollgCr,HdBoard,1976,75.0,894,308,128200
Other,,2002,,1960,440,216500
Other,HdBoard,1971,21.0,987,264,89500
CollgCr,VinylSd,2004,65.0,1414,494,185500
Other,HdBoard,1993,,1744,457,194500
Other,VinylSd,2007,93.0,1694,818,318000
Edwards,VinylSd,1945,52.0,1487,220,113000
Other,VinylSd,2008,75.0,1566,750,262500
OldTown,VinylSd,1945,40.0,866,0,110500
OldTown,Other,1900,63.0,1440,352,79000
Other,,1980,75.0,1217,288,120000
Other,VinylSd,1994,,2110,463,205000
Other,Other,1988,80.0,1872,604,241500
OldTown,Other,1910,69.0,1928,440,137000
NAmes,Other,1954,75.0,1375,451,140000
CollgCr,VinylSd,2003,72.0,1668,500,180000
Other,Other,1958,,2144,389,277000
Other,Other,1940,55.0,1306,0,76500
Other,VinylSd,2006,44.0,1625,538,235000
Other,VinylSd,2004,65.0,1640,520,173000
NAmes,HdBoard,1964,85.0,1302,309,158000
NAmes,Other,1957,70.0,1314,294,145000
Other,VinylSd,1999,66.0,2291,429,230000
Other,VinylSd,2003,64.0,1728,673,207500
CollgCr,VinylSd,2006,68.0,1604,660,220000
CollgCr,VinylSd,2001,80.0,1792,564,231500
OldTown,Other,1956,70.0,882,308,97000
NAmes,Other,1962,120.0,1382,884,176000
CollgCr,Other,2007,69.0,2574,868,276000
Other,HdBoard,1977,88.0,1212,492,151000
OldTown,Other,1929,50.0,1316,484,130000
OldTown,Other,1925,30.0,764,504,73000
Other,Other,1981,78.0,1422,576,175500
Other,VinylSd,1997,70.0,1511,413,185000
Other,Other,1939,60.0,2192,240,179500
Other,VinylSd,1940,71.0,778,924,120500
Edwards,HdBoard,1976,,1113,504,148000
Other,VinylSd,2006,84.0,1939,1053,266000
Other,Other,1954,73.0,1363,439,241500
Other,VinylSd,1999,92.0,2270,671,290000
NAmes,Other,1958,80.0,1632,338,139000
Other,HdBoard,1982,76.0,816,264,124500
Other,Other,1925,55.0,1548,672,205000
Other,VinylSd,2003,129.0,1560,573,201000
Other,VinylSd,1951,140.0,864,400,141000
Other,Other,2006,107.0,2121,732,415298
Other,Other,1977,83.0,2022,505,192000
Other,Other,1989,82.0,1982,575,228500
Other,VinylSd,2006,60.0,1262,572,185000
Other,VinylSd,2007,34.0,1314,626,207500
Other,VinylSd,2008,74.0,1468,898,244600
Other,Other,1992,50.0,1575,529,179200
Other,Other,2006,35.0,1250,528,164700
NAmes,Other,1962,77.0,1734,440,159000
NAmes,HdBoard,1971,,858,0,88000
Other,Other,1967,,900,280,122000
Other,Other,1915,60.0,1396,384,153575
CollgCr,VinylSd,2006,120.0,1919,685,233230
Other,VinylSd,1912,55.0,1716,0,135900
Edwards,Other,1949,60.0,1716,281,131000
Other,Other,1977,,2263,539,235000
NAmes,HdBoard,1953,80.0,1644,418,167000
Other,HdBoard,1984,37.0,1003,588,142500
Other,Other,1950,75.0,1558,282,152000
Other,VinylSd,1997,66.0,1950,576,239000
Other,HdBoard,1968,90.0,1743,539,175000
Other,HdBoard,1950,80.0,1152,300,158500
Other,Other,1953,90.0,1336,375,157000
CollgCr,VinylSd,1998,66.0,2452,683,267000
CollgCr,VinylSd,2001,118.0,1541,843,205000
CollgCr,VinylSd,1972,70.0,894,552,149900
OldTown,Other,1880,87.0,3493,870,295000
CollgCr,Other,2004,80.0,2000,888,305900
Other,HdBoard,1990,116.0,2243,746,225000
Other,Other,1920,,1406,0,89500
Edwards,VinylSd,1940,,861,539,82500
Other,VinylSd,2003,90.0,1944,708,360000
Other,HdBoard,1993,,1501,420,165600
NAmes,VinylSd,1948,50.0,972,240,132000
OldTown,,1939,65.0,1118,410,119900
Other,Other,1965,150.0,2036,513,375000
OldTown,Other,1925,60.0,1641,546,178000
Other,VinylSd,2004,71.0,1432,432,188500
,Other,1980,94.0,2353,484,260000
Other,VinylSd,2006,75.0,1959,1025,270000
Other,HdBoard,1993,90.0,2646,656,260000
Other,Other,1980,,1472,588,187500
Other,VinylSd,2006,111.0,2596,840,342643
Other,VinylSd,2004,99.0,2468,872,354000
Other,Other,1986,86.0,2730,576,301000
OldTown,VinylSd,1955,49.0,1163,220,126175
NAmes,Other,1967,96.0,2978,564,242000
Other,Other,1941,50.0,803,360,87000
Other,Other,1993,32.0,1719,473,324000
NAmes,Other,1960,80.0,1383,292,145250
Other,Other,1916,,2134,441,214500
Other,Other,1920,60.0,1192,189,78000
NAmes,HdBoard,1964,,1728,352,119000
NAmes,Other,1958,70.0,1056,308,139000
Other,VinylSd,2003,85.0,1629,880,284000
Other,VinylSd,2004,59.0,1358,484,207000
Other,VinylSd,1998,59.0,1638,472,192000
Other,Other,1965,,1786,529,228950
Other,VinylSd,2005,86.0,1922,676,377426
CollgCr,VinylSd,2002,70.0,1536,532,214000
Other,Other,1984,91.0,1621,440,202500
NAmes,Other,1958,66.0,1215,297,155000
Other,VinylSd,2002,85.0,1908,431,202900
Other,Other,1950,60.0,841,294,82000
NAmes,Other,1949,,1040,400,87500
Other,Other,2005,63.0,1684,564,266000
Other,Other,1976,36.0,1112,336,85000
Other,Other,1939,65.0,1577,312,140200
NAmes,Other,1960,,958,301,151500
NAmes,Other,1960,,1478,498,157500
Other,VinylSd,2003,36.0,1626,474,154000
Other,Other,2005,56.0,2728,706,437154
Other,Other,2007,68.0,1869,617,318061
Other,Other,1986,,1453,445,190000
Edwards,VinylSd,1941,60.0,1111,200,95000
OldTown,VinylSd,1928,60.0,720,484,105900
Other,Other,1940,60.0,1595,240,140000
CollgCr,VinylSd,1995,105.0,1200,521,177500
Other,HdBoard,1992,,1167,400,173000
Other,Other,1976,44.0,1142,528,134000
Other,Other,1958,92.0,1352,288,130000
Other,VinylSd,1998,78.0,1924,592,280000
Other,VinylSd,1978,,912,470,156000
Other,Other,1940,,1505,240,145000
Edwards,HdBoard,2003,64.0,1922,672,198500
Other,HdBoard,1972,21.0,987,264,118000
Other,HdBoard,1976,,1574,566,190000
Other,VinylSd,1920,59.0,1344,468,147000
NAmes,Other,1963,,1394,514,159000
NAmes,Other,1962,101.0,1431,296,165000
NAmes,HdBoard,1954,78.0,1268,244,132000
NAmes,Other,1959,,1287,576,162000
Other,VinylSd,2000,,1664,460,172400
Other,Other,1959,80.0,1588,680,134432
Other,Other,1984,50.0,752,264,125000
NAmes,Other,1953,79.0,1319,270,123000
CollgCr,VinylSd,2003,65.0,1928,434,219500
Edwards,Other,1922,,904,0,61000
CollgCr,VinylSd,1996,57.0,914,576,148000
Other,Other,2004,102.0,2466,610,340000
Other,VinylSd,2010,88.0,1856,834,394432
Other,VinylSd,2000,60.0,1800,463,179000
Other,Other,1924,50.0,1691,308,127000
Other,VinylSd,2006,60.0,1301,572,187750
CollgCr,VinylSd,2006,79.0,1797,639,213500
Other,Other,1928,60.0,784,360,76000
Other,HdBoard,1992,,1953,501,240000
Other,VinylSd,2004,43.0,1269,430,192000
Edwards,,1910,58.0,1184,0,81000
Edwards,Other,1976,72.0,1125,352,125000
CollgCr,VinylSd,1999,93.0,1479,577,191000
Other,VinylSd,2007,96.0,2332,846,426000
Edwards,Other,1900,50.0,1367,384,119000
Other,VinylSd,2001,71.0,1961,560,215000
NAmes,Other,1959,,882,294,106500
Other,Other,1941,,788,0,100000
OldTown,Other,1940,60.0,1034,240,109000
Edwards,Other,1956,68.0,1144,596,129000
CollgCr,Other,1972,60.0,894,600,123000
NAmes,VinylSd,1962,69.0,1812,264,169500
Other,Other,1920,60.0,1077,338,67000
Other,Other,2006,65.0,1550,438,241000
Other,Other,1996,38.0,1288,500,245500
CollgCr,VinylSd,2005,65.0,1310,400,164990
Other,Other,1940,60.0,672,240,108000
Other,,1998,93.0,2263,420,258000
Other,Other,1995,,1572,373,168000
Other,Other,1976,,1620,490,150000
Other,Other,1936,51.0,1639,240,115000
Other,Other,1915,63.0,1680,308,177000
Other,VinylSd,2006,109.0,2172,947,280000
Other,VinylSd,2007,85.0,2078,836,339750
Edwards,Other,1958,68.0,1276,350,60000
Other,Other,1955,100.0,1056,572,145000
Other,Other,2009,,1478,484,222000
OldTown,Other,1927,56.0,1028,360,115000
Other,VinylSd,1993,59.0,2097,678,228000
Other,VinylSd,2007,73.0,1340,396,181134
Other,HdBoard,1978,74.0,1400,440,149500
Other,Other,1918,86.0,2624,864,239000
Edwards,Other,1940,60.0,1134,240,126000
NAmes,VinylSd,1968,65.0,1056,304,142000
Other,VinylSd,1997,78.0,1344,784,206300
Other,Other,1977,,1602,529,215000
Other,HdBoard,1954,100.0,988,520,113000
Other,VinylSd,1998,80.0,2630,696,315000
NAmes,Other,1956,72.0,1196,297,139000
OldTown,HdBoard,1946,60.0,1389,240,135000
Other,Other,1989,,1644,569,275000
NAmes,Other,1957,77.0,907,352,109008
CollgCr,VinylSd,2007,64.0,1208,628,195400
Other,HdBoard,1988,130.0,1412,576,175000
Other,HdBoard,1971,21.0,987,264,85400
OldTown,Other,1920,60.0,1198,0,79900
Other,HdBoard,1971,24.0,1365,440,122500
Other,VinylSd,1997,100.0,1604,470,181000
Other,Other,1972,21.0,630,0,81000
CollgCr,VinylSd,1996,43.0,1661,550,212000
OldTown,Other,1920,40.0,1118,440,116000
Other,Other,1926,50.0,904,180,119000
Other,Other,1913,40.0,694,352,90350
Edwards,Other,1920,67.0,1196,528,110000
Other,VinylSd,2008,105.0,2402,672,555000
Edwards,VinylSd,1955,92.0,1440,0,118000
Other,Other,1930,52.0,1573,360,162900
Other,Other,2006,53.0,1258,648,172500
CollgCr,VinylSd,1994,70.0,1908,493,210000
Edwards,Other,1956,73.0,1689,480,127500
NAmes,Other,1966,137.0,1888,578,190000
Other,VinylSd,1998,,1886,431,199900
Other,Other,1937,50.0,1376,198,119500
OldTown,Other,1948,50.0,1183,308,120000
OldTown,Other,1930,70.0,813,270,110000
Other,Other,1975,62.0,1533,576,280000
Other,VinylSd,1996,,1756,422,204000
Other,VinylSd,2008,75.0,1590,676,210000
Other,Other,1976,63.0,1728,560,188000
Other,HdBoard,1973,80.0,1242,528,175500
OldTown,Other,1916,34.0,1344,513,98000
Other,Other,1954,,1663,529,256000
OldTown,Other,1925,,1666,228,161000
Other,Other,1950,,1203,352,110000
Other,VinylSd,2009,75.0,1935,552,263435
Other,Other,1936,60.0,1135,576,155000
Other,Other,1965,60.0,864,360,62383
Other,Other,1934,74.0,1660,240,188700
CollgCr,,1978,60.0,1040,0,124000
Other,VinylSd,2004,,1414,398,178740
NAmes,Other,1970,85.0,1277,526,167000
NAmes,Other,1942,79.0,1644,312,146500
Other,VinylSd,2006,98.0,1634,866,250000
Other,HdBoard,1993,76.0,1710,506,187000
Other,HdBoard,1985,,1502,528,212000
Other,Other,1977,92.0,1969,534,190000
Edwards,,2005,35.0,1072,525,148000
Other,VinylSd,2006,110.0,1976,908,440000
Other,Other,2000,41.0,1652,499,251000
Other,HdBoard,1963,80.0,970,624,132500
CollgCr,VinylSd,1997,75.0,1493,508,208900
Other,VinylSd,2006,105.0,2643,694,380000
CollgCr,VinylSd,2007,79.0,1718,826,297000
OldTown,Other,1937,50.0,1131,672,89471
Other,VinylSd,2004,98.0,1850,772,326000
Other,VinylSd,2003,72.0,1792,874,374000
OldTown,Other,1915,50.0,1826,164,155000
Other,VinylSd,1998,32.0,1216,402,164000
Other,HdBoard,1962,,999,264,132500
NAmes,Other,1950,80.0,1113,264,147000
NAmes,,1965,79.0,1073,515,156000
Other,Other,1971,70.0,1484,487,175000
OldTown,Other,1900,60.0,2414,520,160000
Other,Other,1970,21.0,630,286,86000
Other,Other,1976,,1304,336,115000
NAmes,Other,1941,79.0,1578,240,133000
Other,VinylSd,2006,105.0,1456,429,172785
NAmes,Other,1960,70.0,1269,308,155000
OldTown,Other,1938,50.0,886,273,91300
Other,Other,1920,60.0,720,0,34900
Other,Other,1992,,3228,546,430000
Other,Other,1925,60.0,1820,240,184000
Other,,1967,65.0,899,288,130000
NAmes,Other,1958,70.0,912,297,120000
Other,HdBoard,1973,21.0,1218,264,113000
Other,VinylSd,2005,75.0,1768,603,226700
Edwards,Other,1965,70.0,1214,461,140000
Other,Other,1959,100.0,1801,484,289000
Other,Other,1974,24.0,1322,440,147000
OldTown,Other,1952,60.0,1960,400,124500
Other,VinylSd,1993,80.0,1911,471,215000
Other,VinylSd,2009,75.0,1218,676,208300
OldTown,Other,1928,60.0,1378,360,161000
NAmes,Other,1959,80.0,1041,270,124500
NAmes,Other,1951,75.0,1363,288,164900
Other,VinylSd,2005,40.0,1368,474,202665
NAmes,VinylSd,1958,70.0,864,624,129900
Other,VinylSd,1983,71.0,1080,484,134000
Other,Other,1926,55.0,789,200,96500
Other,Other,2009,94.0,2020,900,402861
Other,HdBoard,1972,,2119,583,158000
Other,VinylSd,1996,79.0,2344,889,265000
CollgCr,VinylSd,1998,,1796,546,211000
Other,Other,1926,53.0,2080,282,234000
OldTown,Other,1900,60.0,1294,0,106250
NAmes,VinylSd,1957,90.0,1244,336,150000
Other,Other,1947,50.0,1664,420,159000
Edwards,Other,2007,130.0,4676,884,184750
Other,VinylSd,1996,95.0,2398,834,315750
Other,VinylSd,2005,62.0,1266,453,176000
NAmes,Other,1956,70.0,928,252,132000
Other,VinylSd,2008,67.0,2713,858,446261
Edwards,Other,1920,58.0,605,0,86000
Other,,1957,,2515,484,200624
Other,HdBoard,1988,85.0,1509,600,175000
Other,Other,1920,60.0,1362,502,128000
NAmes,VinylSd,1955,60.0,827,392,107500
Other,VinylSd,1946,50.0,334,0,39300
Other,VinylSd,2004,74.0,1414,403,178000
Edwards,Other,1910,70.0,1347,0,107500
CollgCr,VinylSd,1998,57.0,1724,527,188000
NAmes,Other,1972,,864,576,111250
Other,Other,1968,,1159,336,158000
CollgCr,VinylSd,2001,,1601,670,272000
Other,VinylSd,2006,85.0,1838,765,315000
Other,VinylSd,2000,,2285,648,248000
Other,VinylSd,1998,78.0,1680,583,213250
NAmes,Other,1998,34.0,767,367,133000
Other,VinylSd,2006,58.0,1496,426,179665
Other,HdBoard,1988,,2183,786,229000
Other,Other,1923,70.0,1635,440,210000
Other,VinylSd,1970,54.0,768,624,129500
OldTown,Other,1955,49.0,825,720,125000
Other,VinylSd,2003,75.0,2094,615,263000
Other,Other,1977,53.0,1069,440,140000
OldTown,Other,1957,50.0,928,288,112500
Other,VinylSd,2006,87.0,1717,908,255500
Edwards,VinylSd,1949,67.0,1126,520,108000
Other,VinylSd,2003,85.0,2046,871,284000
Other,Other,1922,58.0,1048,280,113000
NAmes,Other,1957,69.0,1092,299,141000
Other,Other,1920,60.0,1336,570,108000
Other,HdBoard,1996,57.0,1446,406,175000
Other,VinylSd,2003,,1557,420,234000
Other,Other,1957,,1392,528,121500
Other,HdBoard,1974,77.0,1389,418,170000
Edwards,Other,1940,63.0,996,0,108000
Edwards,Other,1918,66.0,1674,396,185000
Other,HdBoard,1992,,2295,590,268000
Other,Other,1915,66.0,1647,216,128000
Other,VinylSd,2005,77.0,2504,656,325000
Other,VinylSd,2004,70.0,1535,532,214000
Other,Other,1983,79.0,2132,612,316600
NAmes,Other,1979,,943,600,135960
NAmes,HdBoard,1965,74.0,1728,576,142600
NAmes,Other,1959,60.0,864,288,120000
Other,VinylSd,2009,83.0,1692,650,224500
Other,VinylSd,2000,76.0,1430,400,170000
NAmes,Other,1971,70.0,1109,288,139000
NAmes,Other,1947,80.0,1216,336,118500
Other,Other,1928,52.0,1477,216,145000
Other,VinylSd,1966,96.0,1320,564,164500
Other,VinylSd,2007,34.0,1392,540,146000
OldTown,Other,1954,81.0,1795,352,131500
NAmes,Other,1960,,1429,572,181900
Other,VinylSd,2008,98.0,2042,1390,253293
Edwards,HdBoard,1990,81.0,816,0,118500
OldTown,Other,1893,75.0,2775,880,325000
Other,Other,1935,51.0,1573,240,133000
Other,VinylSd,2005,88.0,2028,880,369900
Other,Other,1918,55.0,838,275,130000
Other,HdBoard,1982,74.0,860,528,137000
Other,Other,1968,65.0,1473,452,143000
Other,VinylSd,1930,50.0,935,308,79500
CollgCr,VinylSd,2004,64.0,1582,520,185900
Other,Other,2008,97.0,2296,842,451950
Other,HdBoard,1982,60.0,816,816,138000
CollgCr,VinylSd,2003,,848,420,140000
CollgCr,HdBoard,1975,88.0,924,280,110000
Other,VinylSd,2005,69.0,1826,758,319000
OldTown,VinylSd,1910,60.0,1368,216,114504
Other,VinylSd,2006,53.0,1402,648,194201
Other,Other,1977,80.0,1647,621,217500
Other,Other,1980,24.0,1556,452,151000
Other,VinylSd,2005,74.0,1904,736,275000
Other,Other,1937,50.0,1375,544,141000
Other,HdBoard,1992,80.0,1915,506,220000
Other,Other,2004,30.0,1200,480,151000
CollgCr,VinylSd,2002,88.0,1494,530,221000
NAmes,HdBoard,1965,85.0,1986,486,205000
CollgCr,VinylSd,1996,82.0,1040,576,152000
Edwards,Other,1948,78.0,2008,230,225000
Other,,1934,78.0,3194,380,359100
Other,VinylSd,1961,61.0,1029,261,118500
CollgCr,VinylSd,2000,,2153,736,313000
Other,HdBoard,1978,,1032,564,148000
CollgCr,VinylSd,2001,,1872,531,261500
